Baza # 100 # 0,5,5,5,5,5,5,5,5,5,5 
jeden # 100 # 5,0,3.14,6.28,9.42,12.56,15.7,12.56,9.42,6.28,3.14
dwa # 100 # 5,3.14,0,3.14,6.28,9.42,12.56,15.7,12.56,9.42,6.28
trzy # 100 # 5,6.28,3.14,0,3.14,6.28,9.42,12.56,15.7,12.56,9.42
cztery # 100 # 5,9.42,6.28,3.14,0,3.14,6.28,9.42,12.56,15.7,12.56
pięć # 100 # 5,12.56,9.42,6.28,3.14,0,3.14,6.28,9.42,12.56,15.7
sześć # 100 # 5,15.7,12.56,9.42,6.28,3.14,0,3.14,6.28,9.42,12.56
siedem # 100 # 5,12.56,15.7,12.56,9.42,6.28,3.14,0,3.14,6.28,9.42
osiem # 100 # 5,9.42,12.56,15.7,12.56,9.42,6.28,3.14,0,3.14,6.28
dziewięć # 100 # 5,6.28,9.42,12.56,15.7,12.56,9.42,6.28,3.14,0,3.14
dziesięć # 100 # 5,3.14,6.28,9.42,12.56,15.7,12.56,9.42,6.28,3.14,0
